98%">"FECHA","TEMPERATURA",
"","  C",
"07/06/20220:00","12.9",
"07/06/20220:10","12.8",
"07/06/20220:20","13.1",
"07/06/20220:30","13.1",
"07/06/20220:40","12.8",
"07/06/20220:50","12.6",
"07/06/20221:00","12.2",
"07/06/20221:10","12.1",
"07/06/20221:20","12.6",
"07/06/20221:30","13.1",
"07/06/20221:40","12.8",
"07/06/20221:50","12.5",
"07/06/20222:00","11.8",
"07/06/20222:10","11.5",
"07/06/20222:20","11.3",
"07/06/20222:30","11.3",
"07/06/20222:40","11.7",
"07/06/20222:50","11.9",
"07/06/20223:00","12.1",
"07/06/20223:10","12.1",
"07/06/20223:20","12.2",
"07/06/20223:30","12.1",
"07/06/20223:40","12.2",
"07/06/20223:50","12.2",
"07/06/20224:00","12.0",
"07/06/20224:10","11.8",
"07/06/20224:20","11.5",
"07/06/20224:30","11.1",
"07/06/20224:40","10.9",
"07/06/20224:50","10.9",
"07/06/20225:00","10.7",
"07/06/20225:10","11.2",
"07/06/20225:20","12.0",
"07/06/20225:30","13.0",
"07/06/20225:40","14.0",
"07/06/20225:50","15.2",
"07/06/20226:00","16.0",
"07/06/20226:10","16.3",
"07/06/20226:20","17.0",
"07/06/20226:30","16.6",
"07/06/20226:40","16.5",
"07/06/20226:50","17.4",
"07/06/20227:00","18.0",
"07/06/20227:10","17.6",
"07/06/20227:20","17.6",
"07/06/20227:30","17.8",
"07/06/20227:40","18.5",
"07/06/20227:50","18.2",
"07/06/20228:00","17.7",
"07/06/20228:10","17.7",
"07/06/20228:20","17.8",
"07/06/20228:30","18.2",
"07/06/20228:40","18.4",
"07/06/20228:50","18.6",
"07/06/20229:00","18.8",
"07/06/20229:10","19.0",
"07/06/20229:20","19.1",
"07/06/20229:30","18.9",
"07/06/20229:40","19.2",
